"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","Red","Blue","Far_Red"
"BNL1632","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.729801829966911,0.89428108662481,0.0729347533356184
"BNL1633","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.710679680075599,0.896441254359401,0.0695314571924046
"BNL1634","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.828032787871691,0.929471798870259,0.106628410042799
"BNL1635","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.732404321113836,0.909562976263406,0.0829310531295477
"BNL1636","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.742601504482791,0.901683238644894,0.0781764518513262
"BNL1637","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.786738181079156,0.917707871055219,0.0951886081622017
"BNL1638","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.869348224100464,0.953141650346474,0.114313829417659
"BNL1639","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.87446605862,0.952335896753985,0.125976195582587
"BNL1640","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.874402530592553,0.952390195104408,0.130388242118879
"BNL1641","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.870168269367281,0.949489945158026,0.124466128311353
"BNL1642","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.8772008237715,0.952879406587606,0.12693404464016
"BNL1617","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.896606696640235,0.954367179483207,0.115864822516541
"BNL1618","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.912534069417436,0.955858505963833,0.159217340363066
"BNL1619","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.89455674033222,0.954969149431013,0.118156821786002
"BNL1620","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.926177402967461,0.956325887803092,0.157632884106847
"BNL1621","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.902505373034475,0.955334569942181,0.120283737538639
"BNL1622","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.896190601083721,0.955475600695212,0.115977738277217
"BNL1623","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.880501781979113,0.954343401673133,0.104235292448442
"BNL1624","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.885301751513987,0.956176907526198,0.108734024151592
"BNL1625","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.902576184325615,0.95572227498964,0.124966959666189
"BNL1626","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.896332603716407,0.955493228464018,0.115203871899356
"BNL1627","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.916715361531882,0.956002964802179,0.145020126542559
"BNL1628","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.897629311620438,0.956325887803974,0.119004861683807
"BNL1629","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.903979417981132,0.955906371171557,0.125744856998781
"BNL1630","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.902798383113912,0.955403690710137,0.117129738347912
"BNL1631","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.903435277032477,0.955699990006349,0.118485805702034
